edge_id,trip_routes_with_edge,edge_occurrences,max_speed,median_z,is_express,is_topo_gate
10358632,1,1,27.780,16.000,1,0
10358635,1,1,27.780,13.945,1,0
10358638,3,3,27.780,16.000,1,0
10725667,90,90,27.780,8.000,1,0
10725667-AddedOffRampEdge,88,88,27.780,8.000,1,0
11635067,386,386,27.780,8.000,1,0
11635095,452,452,27.780,8.000,1,0
11635095-AddedOffRampEdge,452,452,27.780,8.000,1,0
11635117,9,9,22.220,9.335,1,0
11635146#0,489,489,27.780,8.000,1,0
11635146#0-AddedOffRampEdge,489,489,27.780,8.000,1,0
11635146#1,317,317,27.780,8.000,1,0
12262310#0,243,243,27.780,12.000,1,0
12262310#0-AddedOffRampEdge,242,242,27.780,12.000,1,0
12262310#1,4,4,27.780,14.210,1,0
1231065644,373,373,27.780,8.000,1,0
1231065652,91,91,27.780,8.000,1,0
1231065652-AddedOnRampEdge,91,91,27.780,8.000,1,0
1290456019,925,925,27.780,8.000,1,0
1337646274,78,78,27.780,8.000,1,0
1368740247,87,87,22.220,8.000,1,0
1368740247-AddedOffRampEdge,87,87,22.220,8.000,1,0
15525299,238,238,22.220,9.200,1,0
160077493,224,224,22.220,12.000,1,0
160077494,85,85,22.220,8.000,1,0
160078084,323,323,22.220,8.000,1,0
160078084-AddedOnRampEdge,323,323,22.220,8.000,1,0
178699058,612,612,22.220,6.110,1,0
178702239#0,258,258,27.780,8.000,1,0
178702239#0-AddedOnRampEdge,258,258,27.780,8.000,1,0
178702239#1,218,218,27.780,8.000,1,0
178702243#0,221,221,27.780,8.000,1,0
178702243#1,278,278,27.780,8.000,1,0
178702243#1-AddedOnRampEdge,221,221,27.780,8.000,1,0
178702248,492,492,22.220,8.000,1,0
178702249,0,0,22.220,8.000,1,0
178702250,173,173,22.220,8.000,1,0
178702251,0,0,22.220,7.635,1,0
178702252,496,496,22.220,8.000,1,0
178702261,4,4,22.220,8.000,1,0
335802664,89,89,22.220,12.000,1,0
335802669,6,6,22.220,12.000,1,0
335802672,6,6,22.220,12.000,1,0
335802675,221,221,22.220,12.000,1,0
335802680,221,221,22.220,12.000,1,0
335802685,6,6,22.220,12.000,1,0
335802687,2,2,22.220,6.015,1,0
335802691,0,0,22.220,6.350,1,0
335802694,0,0,22.220,8.000,1,0
335802695,85,85,22.220,8.000,1,0
39086240,376,376,27.780,8.000,1,0
39086240-AddedOffRampEdge,373,373,27.780,8.000,1,0
39839093,87,87,22.220,8.000,1,0
39839107,304,304,22.220,8.885,1,0
39839131,238,238,22.220,8.000,1,0
39839273,3,3,22.220,12.000,1,0
39839275,83,83,22.220,12.000,1,0
439836127,9,9,22.220,12.000,1,0
439836128#0,238,238,22.220,8.000,1,0
439836128#0-AddedOffRampEdge,238,238,22.220,8.000,1,0
439836128#1,0,0,22.220,8.000,1,0
439836129,224,224,22.220,12.000,1,0
439836130#0,304,304,22.220,12.000,1,0
439836130#0-AddedOffRampEdge,304,304,22.220,12.000,1,0
439836130#1,221,221,22.220,12.000,1,0
439836131,2,2,22.220,8.000,1,0
439836132,89,89,22.220,10.560,1,0
47053612,636,636,27.780,8.000,1,0
513082627,612,612,22.220,8.000,1,0
513082632,492,492,22.220,6.120,1,0
513082635#0,580,580,27.780,6.440,1,0
513082641#2,553,553,27.780,6.210,1,0
513087668,412,412,27.780,8.000,1,0
513087669,1,1,27.780,11.760,1,0
68574202,440,440,22.220,8.000,1,0
68574206,440,440,22.220,6.380,1,0
813852683,224,224,27.780,12.000,1,0
813852683-AddedOnRampEdge,224,224,27.780,12.000,1,0
8756689,3,3,27.780,11.645,1,0
900399275,142,142,22.220,12.000,1,0
900399276,167,167,22.220,12.000,1,0
975216739,370,370,22.220,6.085,1,0
975216741,370,370,22.220,8.000,1,0
975216742,400,400,22.220,8.000,1,0
