type,from_edge,to_edge,from_in_express,to_in_express,from_topo_gate
entry,178699049,178699058,0,1,1
entry,513082623,178702243#1-AddedOnRampEdge,0,1,1
entry,513082641#0-AddedOffRampEdge,11635117,0,1,1
entry,513082641#2-AddedOnRampEdge,513082641#2,0,1,1
entry,975216744,975216742,0,1,1
exit,1337646274,513082641#0,1,0,0
exit,178702251,178702251-AddedOffRampEdge,1,0,0
exit,335802687,335802686,1,0,0
exit,335802691,335802686,1,0,0
exit,513082632,178702260,1,0,0
exit,513082635#0,513082635#0-AddedOffRampEdge,1,0,0
exit,68574206,-515130026#1,1,0,0
exit,68574206,515130025,1,0,0
exit,975216739,975216740,1,0,0
